"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",985813.1002682124
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",4076001.731226156
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",21210898.027779575
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",51596700.5163459
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",8701965.037058234
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",18128997.245926876
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",6937954.030011095
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",4655129.521382375
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",17662382.900676303
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",7465387.463190976
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",5789059.842389027
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,"Frozen Fruits and Nuts",12508274.36701313
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20812,"Preserved Fruits and Nuts",290122.68304858566
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",5666149.124753538
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20814,"Citrus and Melon Peels",206229.5594036569
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",159937281.0785445
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",8479608.961281866
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20903,"Maté",118756.72007578315
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",6125282.069987873
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20905,"Vanilla",3014063.447585564
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",792230.2657200361
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20907,"Cloves",72424.55842407535
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",324470.73969600804
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",2183438.006445748
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",5958223.549122013
2,"Vegetable Products",210,"Cereals",21001,"Wheat",424308714.10640687
2,"Vegetable Products",210,"Cereals",21002,"Rye",5979341.276561866
2,"Vegetable Products",210,"Cereals",21003,"Barley",79874050.7097919
2,"Vegetable Products",210,"Cereals",21004,"Oats",12386531.543593176
2,"Vegetable Products",210,"Cereals",21005,"Corn",45336944.711346716
2,"Vegetable Products",210,"Cereals",21006,"Rice",21541368.23279845
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",151093.19011512038
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",7619758.47628681
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",16127241.33212234
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",1061739.6872759615
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,"Cereal Meal and Pellets",1338136.8133227008
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,"Processed Cereals",18243224.58451709
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21105,"Potato Flours",605267.764982949
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",1440044.5043582136
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21107,"Malt",103945825.67358015
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",19178570.657716338
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21109,"Wheat Gluten",4956833.006738207
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21201,"Soybeans",3877783.0128554925
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21202,"Ground Nuts",630395.8855250523
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21204,"Linseed",6162532.14044797
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21205,"Rapeseed",142280950.80408236
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21206,"Sunflower Seeds",16623080.514360724
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21207,"Other Oily Seeds",75985711.76895756
